Country,External debt stocks (% of GNI),GDP per capita,Total population (2011)
Afghanistan,0.00,621.00,32358260.00
Albania,40.54,7861.13,3215988.00
Algeria,3.39,7643.17,35980193.00
American Samoa,0.00,4799.91,69543.00
Andorra,0.00,46418.42,86165.00
Angola,24.58,5201.31,19618432.00
Antigua and Barbuda,0.00,14139.05,89612.00
Argentina,36.14,15501.42,40764561.00
Armenia,64.76,5112.40,3100236.00
Aruba,0.00,25354.78,108141.00
Australia,0.00,34548.32,22605732.00
Austria,0.00,36353.00,8413429.00
Azerbaijan,14.88,8889.89,9306023.00
Bahamas,0.00,28239.06,347176.00
Bahrain,0.00,18334.17,1323535.00
Bangladesh,22.81,1568.44,150493658.00
Barbados,0.00,13076.46,273925.00
Belarus,46.78,13191.19,9559441.00
Belgium,0.00,33126.52,10754056.00
Belize,80.26,5895.77,317928.00
Benin,18.41,1427.69,9099922.00
Bermuda,0.00,86071.62,65077.00
Bhutan,63.27,5095.60,738267.00
Bolivia,27.83,4499.20,10088108.00
Bosnia and Herzegovina,48.84,7607.44,3752228.00
Botswana,11.57,12938.95,2030738.00
Brazil,16.93,10278.43,196655014.00
Brunei,0.00,41126.61,405938.00
Bulgaria,104.81,11799.46,7446135.00
Burkina Faso,23.31,1148.52,16967845.00
Burundi,33.80,533.29,8575172.00
Cambodia,43.38,2079.99,14305183.00
Cameroon,13.46,2090.28,20030362.00
Canada,0.00,35716.03,34349561.00
Cape Verde,54.30,3615.80,500585.00
Cayman Islands,0.00,30190.67,56729.00
Central African Rep.,19.15,715.62,4486837.00
Chad,25.74,1342.76,11525496.00
Chile,45.92,15271.79,17269525.00
China,9.29,7404.31,1347565324.00
Colombia,22.84,8861.06,46927125.00
Comoros,90.08,980.11,753943.00
Congo Dem. Rep.,47.08,329.30,67757577.00
Congo Rep.,43.86,3884.86,4139748.00
Costa Rica,26.81,10731.89,4726575.00
Cote d'Ivoire,52.60,1581.45,20152894.00
Croatia,0.00,16162.19,4395560.00
Cuba,0.00,5382.82,11253665.00
Cyprus,0.00,26045.45,1116564.00
Czech Rep.,0.00,23966.65,10534293.00
Denmark,0.00,32399.30,5572594.00
Dominica,73.17,11119.61,67675.00
Dominican Rep.,26.20,8650.61,10056181.00
Ecuador,23.08,7443.05,14666055.00
Egypt,16.24,5546.53,82536770.00
El Salvador,53.18,6031.88,6227491.00
Equatorial Guinea,0,32025.73,720213.00
Eritrea,48.15,516.50,5415280.00
Estonia,0.00,17885.43,1340537.00
Ethiopia,24.13,979.21,84734262.00
Fiji,15.16,4198.67,868406.00
Finland,0.00,32253.63,5384770.00
France,0.00,29818.80,63125894.00
Gabon,20.33,13997.93,1534262.00
Gambia,63.29,1872.78,1776103.00
Georgia,80.44,4826.02,4329026.00
Germany,0,34436.85,82162512.00
Ghana,27.19,1652.34,24965816.00
Greece,0.00,22558.03,11390031.00
Grenada,98.74,9805.85,104890.00
Guatemala,35.86,4351.36,14757316.00
Guinea,69.09,989.68,10221808.00
Haiti,7.31,1034.40,10123787.00
Honduras,28.16,3566.00,7754687.00
Hong Kong China,0.00,43844.15,7122187.00
Hungary,0.00,17295.39,9966116.00
Iceland,0.00,33618.15,324366.00
India,16.90,3203.00,1241491960.00
Indonesia,26.08,4094.06,242325638.00
Iran,0.00,7200.00,74798599.00
Iraq,0.00,3412.16,32664942.00
